site,sp,lon,lat
ACK,mylu,-88.588273,44.806449
BAL,epfu,-89.856877,42.897032
BLU,epfu,-90.045329,43.484182
CHE,epfu,-89.369115,43.181635
DIL,mylu,-90.873046,46.711937
ENG,epfu,-89.888965,43.314924
ENGL,mylu,-89.38223,43.955065
KER,mylu,-89.344111,43.651391
HIE,epfu,-87.918386,43.564973
KAL,epfu,-91.139386,43.730379
MCI,epfu,-89.151628,43.00868
MOS,mylu,-92.052845,45.908388
PRE,mylu,-89.643917,43.368637
HOR,epfu,-89.6401507,42.7856774
ROS,epfu,-87.868835,44.22562
SIL,mylu,-89.024298,42.891718
WAY,epfu,-88.696817,43.879904
WHI,mylu,-90.173272,46.107987
AMP,mylu,-89.984636,42.771589
HES,mylu,-89.929576,42.786142
YEL,mylu,-89.973918,42.786094
PIC,mylu,-89.415338,43.089779
